sample,dgg,block,germination_date,coleptile_colour,erect_1_5,pigment_1_3,anthesis_date,main_length,main_flag_leaf_width,main_number_of_spikes,number_of_tillers,spike_angle_1_3,weight_10_seeds,seed_area,seed_length,seed_width
1984C159,G29,2,345,1,1,2,482,80,-0.35667494393873245,13,3,3,0.3916,21.1678181818182,11.2532727272727,2.65436363636364
1984A29,G3,2,346,1,2,2,483,67.5,-0.35667494393873245,16,3,2,0.3992,22.1311,10.6729,2.9325
2002C168,G30,2,345,0,5,2,477,104,0.3364722366212129,16,3,3,0.4223,21.0009090909091,10.6273636363636,2.81136363636364
1984C173,G31,2,345,1,1,2,484,79.5,-0.2231435513142097,12,4,3,0.4587,23.9420909090909,12.4004545454545,2.81518181818182
1984D215,G32,2,344,1,1,3,488,61,0,14,6,2,0.3799,21.8139,11.3205,2.743
1984D220,G33,2,344,1,3,3,474,76,-0.10536051565782628,13,4,2,0.4434,25.37,12.3698,2.9376
1984D227,G34,2,345,1,2,3,482,94,-0.10536051565782628,15,3,1,0.4496,25.6284,12.1308,3.0128
1988A11,G36,2,345,1,2,2,483,77.5,-0.10536051565782628,14,5,3,0.425,25.1262,12.281,2.9714
1988A12,G37,2,345,1,1,2,481,86.5,-0.2231435513142097,15,4,3,0.3995,23.9958,11.5833,3.06
1988A14,G38,2,345,1,3,2,483,95.5,0.09531017980432493,15,4,1,0.4488,23.4562,11.7593,2.876
1988A19,G39,2,344,1,1,2,482,70,-0.10536051565782628,15,7,3,0.361,NA,NA,NA
1984A14,G4,2,345,1,1,2,488,71.5,0.09531017980432493,14,3,2,0.3967,24.7303,11.24,3.0339
1988A21,G41,2,344,1,1,2,476,77.5,-0.2231435513142097,11,4,3,0.447,27.6883,11.7534,3.2787
1988A25,G42,2,345,1,2,2,481,74,-0.5108256237659907,15,5,3,0.3656,21.275,10.7804,2.777
2018B92,G43,2,345,1,3,3,475,75.5,0,12,5,3,0.4751,25.171,11.1067,3.2344
1988A32,G44,2,344,1,2,2,479,74.5,-0.10536051565782628,12,5,3,0.39,21.2715,10.951,2.8089
2014D198,G45,2,345,1,3,2,479,86.5,0.3364722366212129,14,4,3,0.4175,21.7853,10.2175,2.9749
1996A81,G46,2,344,1,2,2,481,80.5,-0.35667494393873245,11,4,2,0.4635,25.0305,12.1139,2.9527
1988A48,G48,2,345,1,2,2,475,82,0.09531017980432493,16,4,1,0.4234,22.4004,10.8687,2.9208
1988A49,G49,2,345,1,2,3,482,97.5,-0.10536051565782628,15,4,3,0.4245,24.368,11.9876,2.8827
1988A52,G50,2,345,1,1,2,483,78.5,-0.2231435513142097,12,4,2,0.4708,26.2919,11.8864,3.1653
1988A57,G51,2,350,1,4,1,480,91,-0.10536051565782628,14,4,3,0.4842,22.2719,10.538,3.0234
2002A63,G52,2,345,0,5,1,476,99.5,0.1823215567939546,14,4,3,0.4739,NA,NA,NA
1988A74,G53,2,346,1,3,2,479,81,-0.2231435513142097,10,6,3,0.4369,23.0647,11.4857,2.7883
1988A76,G54,2,345,1,3,2,486,75.5,-0.5108256237659907,13,5,3,0.4762,23.6042,11.2354,2.9968
1988B101,G56,2,345,0,5,2,469,91,0,14,5,1,0.481,22.9533,11.0072,3.0367
1988B102,G57,2,345,0,2,1,481,85.5,0.09531017980432493,18,4,3,0.4502,25.4001,11.3901,3.2563
